C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2002,6,1,11,2,2,QQ,UU,1,1,1,18,1,1,UUUU,1,F,36,11,2,2,1,458672
2002,6,1,11,2,2,QQ,UU,1,1,1,18,2,1,UUUU,1,M,40,11,1,NN,1,458672
2002,6,1,15,2,2,21,UU,3,2,2,18,1,1,UUUU,1,F,38,11,2,2,1,458703
2002,6,1,15,2,2,21,UU,3,2,2,18,2,1,UUUU,1,M,30,11,1,NN,1,458703
2002,6,1,9,2,2,35,2,1,1,1,18,1,1,UUUU,1,F,60,11,2,12,1,458771
2002,6,1,9,2,2,35,2,1,1,1,18,2,1,UUUU,1,M,36,11,1,NN,1,458771
2002,6,1,15,2,2,23,3,1,1,2,18,1,1,UUUU,1,M,39,11,1,NN,1,458777
2002,6,1,15,2,2,23,3,1,1,2,18,2,16,UUUU,1,M,17,11,2,13,U,458777
2002,6,1,15,2,2,23,3,1,1,2,18,2,16,UUUU,2,M,NN,22,2,13,U,458777
2002,6,1,2,2,1,3,2,1,1,1,18,1,1,UUUU,1,M,36,11,2,2,1,458819
2002,6,1,2,2,1,3,2,1,1,1,18,1,1,UUUU,2,M,22,13,2,2,2,458819
2002,6,1,10,2,2,UU,UU,2,1,1,18,1,14,UUUU,1,M,41,11,2,9,5,458867
2002,6,1,10,2,2,UU,UU,2,1,1,18,2,1,UUUU,1,M,44,11,1,NN,1,458867
2002,6,1,10,2,5,QQ,UU,1,1,1,18,1,1,2000,1,N,NN,11,1,NN,1,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,2,1,UUUU,1,M,50,11,1,NN,1,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,3,1,UUUU,1,M,27,11,1,NN,1,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,4,1,UUUU,NN,N,NN,NN,N,NN,U,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,5,1,UUUU,1,M,29,12,2,2,2,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,5,1,UUUU,2,M,30,11,1,NN,1,458910
2002,6,1,10,2,5,QQ,UU,1,1,1,18,6,1,UUUU,1,M,52,11,1,NN,1,458910
2002,6,1,17,2,2,21,UU,2,1,1,1,1,1,UUUU,1,M,28,11,2,2,1,458972
2002,6,1,17,2,2,21,UU,2,1,1,1,2,5,UUUU,1,F,41,11,1,NN,1,458972
2002,6,1,9,2,2,21,2,3,2,1,1,1,1,UUUU,1,M,33,11,2,2,1,458985
