C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2007,1,1,9,2,2,UU,UU,4,3,1,1,1,1,UUUU,1,M,46,11,1,NN,1,1208819
2007,1,1,9,2,2,UU,UU,4,3,1,1,2,1,UUUU,1,F,24,13,2,2,2,1208819
2007,1,1,9,2,2,UU,UU,4,3,1,1,2,1,UUUU,2,M,29,11,1,NN,1,1208819
2007,1,1,0,2,1,3,3,1,3,2,18,1,22,2000,1,M,23,11,2,NN,U,1208836
2007,1,1,0,2,1,3,3,1,3,2,18,1,22,2000,2,M,17,22,2,NN,U,1208836
2007,1,1,19,1,1,2,UU,U,3,1,UU,1,1,UUUU,1,M,46,11,1,NN,1,1208877
2007,1,1,19,1,1,2,UU,U,3,1,UU,99,NN,NNNN,1,M,64,99,3,13,3,1208877
2007,1,1,12,2,1,2,UU,1,1,5,18,1,1,UUUU,1,M,90,11,2,1,1,1208897
2007,1,1,12,2,1,2,UU,1,1,5,18,1,1,UUUU,2,F,NN,13,2,1,2,1208897
2007,1,1,19,2,1,QQ,UU,1,5,3,18,1,16,UUUU,1,M,14,21,2,13,U,1208953
2007,1,1,19,2,1,QQ,UU,1,5,3,18,1,16,UUUU,2,M,17,11,1,NN,U,1208953
2007,1,1,15,2,1,4,UU,1,4,3,UU,1,1,UUUU,1,F,58,13,2,2,2,1208954
2007,1,1,15,2,1,4,UU,1,4,3,UU,1,1,UUUU,2,F,80,11,1,NN,1,1208954
2007,1,1,11,2,2,31,2,6,5,1,18,1,1,UUUU,1,F,34,11,2,2,1,1208967
2007,1,1,11,2,2,31,2,6,5,1,18,1,1,UUUU,2,M,9,11,2,2,1,1208967
2007,1,1,11,2,2,31,2,6,5,1,18,2,1,UUUU,1,M,49,11,1,NN,1,1208967
2007,1,1,12,2,1,3,2,1,5,4,18,1,1,UUUU,1,F,54,11,2,2,1,1209014
2007,1,1,11,2,2,QQ,2,1,2,1,18,1,7,UUUU,1,M,42,11,1,NN,1,1209032
2007,1,1,11,2,2,QQ,2,1,2,1,18,2,1,UUUU,1,M,21,11,2,2,1,1209032
2007,1,1,17,2,2,31,2,2,5,4,18,1,1,UUUU,1,M,40,13,2,2,2,1209046
2007,1,1,17,2,2,31,2,2,5,4,18,1,1,UUUU,2,M,37,11,1,NN,1,1209046
