C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2011,8,1,16,2,1,UU,UU,3,2,1,UU,1,8,UUUU,1,M,27,11,2,2,1,1730738
2011,8,1,11,2,2,23,7,1,1,1,18,1,7,UUUU,1,M,60,11,2,2,1,1730881
2011,8,1,11,2,2,23,7,1,1,1,18,2,1,UUUU,1,M,71,11,2,2,1,1730881
2011,8,1,12,2,2,QQ,UU,1,1,1,UU,1,1,UUUU,1,F,28,11,2,2,1,1731097
2011,8,1,12,2,2,QQ,UU,1,1,1,UU,2,1,UUUU,1,M,63,11,1,NN,1,1731097
2011,8,1,15,2,2,3,2,2,1,1,UU,1,1,UUUU,1,F,68,11,1,NN,1,1731109
2011,8,1,15,2,2,3,2,2,1,1,UU,2,1,UUUU,1,M,23,13,2,2,2,1731109
2011,8,1,15,2,2,3,2,2,1,1,UU,2,1,UUUU,2,F,28,11,1,NN,1,1731109
2011,8,1,11,2,1,3,2,3,2,2,UU,1,1,UUUU,1,F,16,11,2,2,1,1731205
2011,8,1,16,2,2,21,UU,1,1,1,UU,1,1,UUUU,1,M,28,11,2,2,1,1731242
2011,8,1,16,2,2,21,UU,1,1,1,UU,2,1,UUUU,1,F,37,11,2,2,1,1731242
2011,8,1,15,2,1,4,UU,1,1,1,18,1,NN,UUUU,1,M,38,13,2,2,U,1731271
2011,8,1,15,2,1,4,UU,1,1,1,18,1,NN,UUUU,2,M,13,23,2,2,U,1731271
2011,8,1,15,2,1,4,UU,1,1,1,18,1,NN,UUUU,3,F,38,11,1,NN,U,1731271
2011,8,1,22,2,1,4,UU,3,2,3,UU,1,1,UUUU,1,M,19,11,2,2,1,1731291
2011,8,1,15,2,1,4,2,2,1,3,18,1,14,UUUU,1,M,44,11,2,2,5,1731330
2011,8,1,12,1,2,33,2,U,U,U,UU,1,NN,UUUU,1,M,12,13,2,2,U,1731406
2011,8,1,12,1,2,33,2,U,U,U,UU,1,NN,UUUU,2,M,12,21,2,2,U,1731406
2011,8,1,12,1,2,33,2,U,U,U,UU,1,NN,UUUU,3,M,17,22,3,2,U,1731406
2011,8,1,12,1,2,33,2,U,U,U,UU,1,NN,UUUU,4,F,33,11,1,NN,U,1731406
2011,8,1,12,1,2,33,2,U,U,U,UU,2,NN,UUUU,1,M,39,11,1,NN,U,1731406
2011,8,1,13,2,2,21,2,1,1,1,18,1,1,UUUU,1,M,29,11,1,NN,1,1731548
2011,8,1,13,2,2,21,2,1,1,1,18,2,1,UUUU,1,F,78,11,2,2,1,1731548
2011,8,1,16,2,2,21,UU,2,1,1,1,1,1,UUUU,1,M,56,11,2,2,1,1731964
2011,8,1,16,2,2,21,UU,2,1,1,1,2,1,UUUU,1,F,60,11,1,NN,1,1731964
2011,8,1,10,2,2,21,UU,1,1,1,UU,1,1,UUUU,1,M,45,11,1,NN,1,1731967
2011,8,1,10,2,2,21,UU,1,1,1,UU,2,1,UUUU,1,M,NN,11,2,2,1,1731967
2011,8,1,11,2,2,21,UU,1,1,4,6,1,1,UUUU,1,M,19,11,1,NN,1,1731972
2011,8,1,11,2,2,21,UU,1,1,4,6,2,1,UUUU,1,F,47,11,2,2,1,1731972
2011,8,1,15,2,2,21,2,2,2,1,1,1,1,UUUU,1,F,59,11,2,2,1,1732001
2011,8,1,15,2,2,21,2,2,2,1,1,2,1,UUUU,1,F,28,11,1,NN,1,1732001
2011,8,1,13,2,3,21,UU,1,1,1,UU,1,1,UUUU,1,F,41,11,2,2,1,1732028
2011,8,1,13,2,3,21,UU,1,1,1,UU,2,NN,2000,1,N,NN,11,1,NN,U,1732028
2011,8,1,13,2,3,21,UU,1,1,1,UU,3,1,UUUU,1,M,53,11,1,NN,1,1732028
2011,8,1,13,2,3,21,UU,1,1,1,UU,4,NN,UUUU,1,M,69,11,1,NN,U,1732028
2011,8,1,11,2,3,QQ,UU,1,1,1,10,1,NN,2000,1,N,NN,11,1,NN,U,1732031
2011,8,1,11,2,3,QQ,UU,1,1,1,10,2,7,UUUU,1,M,68,11,1,NN,1,1732031
2011,8,1,11,2,3,QQ,UU,1,1,1,10,3,1,UUUU,1,M,33,11,2,2,1,1732031
2011,8,1,11,2,3,QQ,UU,1,1,1,10,4,1,2000,1,M,50,11,1,NN,1,1732031
2011,8,1,17,2,1,35,UU,1,1,1,1,1,1,UUUU,1,M,71,11,1,NN,1,1732152
2011,8,1,17,2,1,35,UU,1,1,1,1,99,NN,NNNN,1,F,58,99,2,NN,3,1732152
2011,8,1,17,2,2,23,2,3,2,1,18,1,1,2003,1,F,40,11,1,2,1,1732321
2011,8,1,17,2,2,23,2,3,2,1,18,1,1,2003,2,M,10,21,1,2,2,1732321
2011,8,1,17,2,2,23,2,3,2,1,18,1,1,2003,3,F,12,23,1,2,2,1732321
2011,8,1,17,2,2,23,2,3,2,1,18,2,1,2004,4,F,41,11,2,2,1,1732321
2011,8,1,20,2,2,35,2,1,1,2,3,1,1,2006,1,F,45,11,1,2,1,1732416
2011,8,1,20,2,2,35,2,1,1,2,3,1,1,2006,3,U,UU,96,1,2,2,1732416
2011,8,1,20,2,2,35,2,1,1,2,3,2,17,2011,2,M,12,11,2,9,4,1732416
2011,8,1,12,2,2,2,1,1,1,1,15,1,1,2006,1,M,52,11,1,2,1,1732557
2011,8,1,12,2,2,2,1,1,1,1,15,1,1,2006,2,F,51,13,2,2,2,1732557
2011,8,1,12,2,2,2,1,1,1,1,15,2,1,2003,3,M,57,11,1,2,1,1732557
2011,8,1,7,2,1,2,QQ,6,1,1,3,1,1,2005,1,F,64,11,2,2,1,1732601
2011,8,1,18,2,2,23,QQ,1,1,1,18,1,1,2000,1,M,67,11,1,1,1,1732628
2011,8,1,18,2,2,23,QQ,1,1,1,18,1,1,2000,2,F,65,12,1,1,2,1732628
2011,8,1,18,2,2,23,QQ,1,1,1,18,2,14,1982,3,M,51,11,2,13,5,1732628
2011,8,1,13,2,2,QQ,2,1,1,2,18,1,1,2006,1,M,46,11,1,2,1,1732642
2011,8,1,13,2,2,QQ,2,1,1,2,18,2,1,2003,2,M,33,11,2,2,1,1732642
2011,8,1,16,2,2,35,1,1,1,2,18,1,1,1994,1,M,18,11,2,UU,1,1732664
2011,8,1,16,2,2,35,1,1,1,2,18,2,1,2005,2,M,29,11,1,UU,1,1732664
2011,8,1,20,2,1,4,QQ,1,1,1,3,1,1,1997,1,M,76,11,2,2,1,1732669
2011,8,1,21,2,1,2,2,1,1,1,1,1,1,2005,1,M,43,11,2,2,1,1732728
2011,8,1,21,2,1,2,2,1,1,1,1,1,1,2005,2,F,42,12,2,2,2,1732728
2011,8,1,9,2,1,4,8,1,1,3,10,1,14,2002,1,M,62,11,2,NN,5,1734571
2011,8,1,9,2,1,4,8,1,1,3,10,1,14,2002,2,F,60,21,2,NN,5,1734571
2011,8,1,9,2,1,4,8,1,1,3,10,1,14,2002,3,U,UU,QQ,N,NN,5,1734571
2011,8,1,9,2,1,4,8,1,1,3,10,99,NN,NNNN,1,M,53,QQ,N,NN,3,1734571
2011,8,1,12,2,2,33,1,1,1,1,18,1,1,2006,1,M,41,11,1,2,1,1734598
2011,8,1,12,2,2,33,1,1,1,1,18,2,14,1997,1,F,52,21,2,13,5,1734598
2011,8,1,12,2,2,33,1,1,1,1,18,2,14,1997,2,M,55,11,2,13,5,1734598
2011,8,1,11,2,2,23,1,1,1,2,18,1,14,2002,1,M,35,11,2,9,5,1734599
2011,8,1,11,2,2,23,1,1,1,2,18,2,1,2012,1,F,UU,96,U,UU,2,1734599
2011,8,1,11,2,2,23,1,1,1,2,18,2,1,2012,2,M,24,11,1,2,1,1734599
2011,8,1,16,2,1,4,1,3,2,3,UU,1,1,1995,1,F,46,13,2,2,2,1734600
2011,8,1,16,2,1,4,1,3,2,3,UU,1,1,1995,2,F,36,11,2,2,1,1734600
2011,8,1,15,2,2,31,1,1,1,4,18,1,1,2011,1,M,27,13,2,2,2,1734661
2011,8,1,15,2,2,31,1,1,1,4,18,1,1,2011,2,M,25,21,2,2,2,1734661
2011,8,1,15,2,2,31,1,1,1,4,18,1,1,2011,3,F,25,23,2,2,2,1734661
2011,8,1,15,2,2,31,1,1,1,4,18,1,1,2011,4,M,28,11,1,2,1,1734661
2011,8,1,15,2,2,31,1,1,1,4,18,2,14,2010,1,M,27,11,2,9,5,1734661
2011,8,1,8,2,1,3,UU,2,1,4,UU,1,1,2010,1,M,21,11,2,2,1,1734671
2011,8,1,8,2,1,3,UU,2,1,4,UU,1,1,2010,2,U,UU,QQ,U,UU,U,1734671
2011,8,1,18,2,1,3,1,1,1,4,UU,1,1,2007,1,M,21,13,1,2,2,1734706
2011,8,1,18,2,1,3,1,1,1,4,UU,1,1,2007,2,F,22,11,2,2,1,1734706
2011,8,1,15,2,2,21,2,1,1,3,4,1,1,2011,1,F,34,11,2,2,1,1734710
2011,8,1,15,2,2,21,2,1,1,3,4,1,1,2011,2,F,41,23,1,2,2,1734710
2011,8,1,15,2,2,21,2,1,1,3,4,2,1,UUUU,1,M,59,11,1,2,1,1734710
2011,8,1,15,2,2,21,2,1,1,3,4,2,1,UUUU,2,M,18,13,1,2,2,1734710
2011,8,1,15,2,2,21,2,1,1,3,4,2,1,UUUU,3,F,59,21,1,2,2,1734710
2011,8,1,15,2,2,21,2,1,1,3,4,2,1,UUUU,4,F,13,23,1,2,2,1734710
2011,8,1,2,2,2,21,2,1,1,1,UU,1,1,2005,1,F,22,11,2,2,1,1734728
