C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,1,1,UUUU,1,F,82,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,2,1,UUUU,1,M,65,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,1,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,2,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,3,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,4,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,5,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,6,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,3,NN,2000,7,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,4,NN,NNNN,1,M,60,11,2,UU,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,4,NN,NNNN,2,M,31,23,2,UU,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,5,1,UUUU,NN,N,NN,NN,N,NN,U,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,6,1,UUUU,1,M,21,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,7,1,UUUU,1,M,72,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,8,1,UUUU,1,M,61,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,9,1,UUUU,1,M,38,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,10,1,UUUU,1,F,79,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,11,1,UUUU,1,F,20,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,12,1,UUUU,1,F,47,11,1,NN,1,1730715
2011,UU,U,UU,2,UU,UU,1,U,U,U,UU,13,7,UUUU,1,M,24,11,1,NN,1,1730715
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,1,1,2002,1,F,26,11,1,2,1,1827548
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,1,1,2002,2,M,31,13,1,2,2,1827548
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,1,1,2002,3,F,7,21,1,2,2,1827548
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,1,1,2002,4,M,9,23,1,2,2,1827548
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,2,1,2007,1,F,36,11,2,2,1,1827548
2011,UU,U,UU,2,2,35,UU,1,Q,U,1,2,1,2007,2,M,40,13,1,2,2,1827548
2011,UU,U,19,2,1,3,1,1,Q,2,18,1,1,2005,1,M,34,11,1,2,1,1831233
2011,UU,U,19,2,1,3,1,1,Q,2,18,1,1,2005,2,M,26,13,1,2,2,1831233
2011,UU,U,19,2,1,3,1,1,Q,2,18,1,1,2005,3,M,29,31,2,2,2,1831233
2011,UU,U,19,2,1,3,1,1,Q,2,18,1,1,2005,4,M,UU,23,2,2,2,1831233
2011,UU,U,18,2,1,6,UU,1,Q,U,1,1,1,2004,1,M,18,11,1,2,1,1831847
2011,UU,U,18,2,1,6,UU,1,Q,U,1,1,1,2004,2,F,19,13,1,2,2,1831847
2011,UU,U,18,2,1,6,UU,1,Q,U,1,99,NN,NNNN,1,M,69,99,2,1,3,1831847
2011,UU,U,15,2,2,35,UU,1,1,U,3,1,17,UUUU,1,M,14,96,2,9,4,1833904
2011,UU,U,15,2,2,35,UU,1,1,U,3,2,1,2002,1,F,54,11,1,2,1,1833904
2011,UU,U,UU,2,1,6,1,1,7,2,18,1,16,1996,1,F,52,96,2,1,U,1836317
2011,UU,U,18,2,2,35,UU,1,1,U,1,1,1,2005,1,F,54,11,2,2,1,1836881
2011,UU,U,18,2,2,35,UU,1,1,U,1,1,1,2005,2,F,57,13,2,2,2,1836881
2011,UU,U,18,2,2,35,UU,1,1,U,1,2,1,1999,1,M,42,11,2,2,1,1836881
2011,UU,U,19,2,2,UU,1,4,Q,6,18,1,1,2007,1,F,28,11,2,2,1,1837042
2011,UU,U,19,2,2,UU,1,4,Q,6,18,1,1,2007,2,M,49,13,2,2,2,1837042
2011,UU,U,19,2,2,UU,1,4,Q,6,18,2,8,2005,1,M,47,11,1,2,1,1837042
2011,UU,U,UU,2,1,4,UU,1,1,U,QQ,1,1,1999,1,F,18,11,2,2,1,1839760
2011,UU,U,10,2,2,35,1,1,5,1,18,1,22,UUUU,1,M,UU,11,2,UU,U,1854899
2011,UU,U,10,2,2,35,1,1,5,1,18,2,22,2004,1,M,UU,11,1,UU,U,1854899
2011,UU,U,8,2,1,3,1,1,6,3,18,1,1,1996,1,M,21,11,2,1,1,1854906
2011,UU,U,8,2,1,3,1,1,6,3,18,1,1,1996,2,M,18,13,2,1,2,1854906
