C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2004,7,1,14,2,1,4,2,1,1,3,UU,1,1,UUUU,1,F,17,11,2,2,1,768074
2004,7,1,13,2,1,3,2,1,1,4,18,1,NN,NNNN,1,M,6,NN,2,9,U,768290
2004,7,1,13,2,1,3,2,1,1,4,18,2,17,2000,1,N,NN,NN,N,NN,4,768290
2004,7,1,13,2,1,3,2,1,1,4,18,3,1,UUUU,1,M,50,11,1,NN,1,768290
2004,7,1,19,2,1,3,UU,1,1,3,18,1,1,UUUU,1,F,21,11,2,2,1,768380
2004,7,1,16,2,1,4,UU,1,1,3,18,1,5,UUUU,1,F,40,13,2,12,2,768393
2004,7,1,16,2,1,4,UU,1,1,3,18,1,5,UUUU,2,F,15,21,2,2,2,768393
2004,7,1,16,2,1,4,UU,1,1,3,18,1,5,UUUU,3,M,43,11,1,NN,1,768393
2004,7,1,21,2,1,3,UU,1,1,4,18,1,1,UUUU,1,M,57,11,2,2,1,768542
2004,7,1,16,2,2,31,4,1,6,3,UU,1,16,UUUU,1,M,14,11,2,9,U,768580
2004,7,1,16,2,2,31,4,1,6,3,UU,1,16,UUUU,2,M,14,11,2,9,U,768580
2004,7,1,15,2,2,35,UU,1,1,1,18,1,1,UUUU,1,F,NN,13,2,2,2,768612
2004,7,1,15,2,2,35,UU,1,1,1,18,1,1,UUUU,2,M,56,11,1,NN,1,768612
2004,7,1,15,2,2,35,UU,1,1,1,18,2,5,UUUU,1,M,42,11,1,NN,1,768612
2004,7,1,17,2,1,35,2,1,1,1,18,1,1,UUUU,1,M,41,11,1,NN,1,768686
2004,7,1,17,2,1,35,2,1,1,1,18,2,UU,NNNN,1,M,NN,NN,2,NN,U,768686
2004,7,1,17,2,1,35,2,1,1,1,18,3,17,2000,1,N,NN,NN,N,NN,4,768686
