C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2012,10,1,8,2,1,2,2,1,1,4,18,1,NN,NNNN,1,M,70,NN,2,NN,U,1854950
2012,10,1,8,2,1,2,2,1,1,4,18,1,NN,NNNN,2,N,NN,11,1,NN,U,1854950
2012,10,1,8,2,1,2,2,1,1,4,18,2,1,UUUU,1,M,60,11,1,NN,1,1854950
2012,10,1,17,2,2,33,2,1,1,1,18,1,1,UUUU,1,M,22,11,1,NN,1,1855135
2012,10,1,17,2,2,33,2,1,1,1,18,2,14,UUUU,1,N,7,11,2,NN,5,1855135
2012,10,1,19,2,3,21,2,1,1,1,1,1,NN,2000,1,N,NN,11,1,NN,U,1855164
2012,10,1,19,2,3,21,2,1,1,1,1,2,1,UUUU,1,M,47,11,1,NN,1,1855164
2012,10,1,19,2,3,21,2,1,1,1,1,3,1,UUUU,1,M,39,11,1,NN,1,1855164
2012,10,1,19,2,3,21,2,1,1,1,1,4,1,UUUU,1,N,NN,NN,N,NN,U,1855164
2012,10,1,19,2,3,21,2,1,1,1,1,4,1,UUUU,2,M,18,11,2,2,1,1855164
2012,10,1,12,2,1,QQ,2,2,1,1,18,1,1,UUUU,1,M,67,11,1,NN,1,1855219
2012,10,1,12,2,1,QQ,2,2,1,1,18,2,17,2000,1,N,NN,NN,N,NN,4,1855219
2012,10,1,12,2,1,QQ,2,2,1,1,18,3,UU,NNNN,1,M,9,98,2,NN,U,1855219
2012,10,1,12,2,1,QQ,2,2,1,1,18,3,UU,NNNN,2,U,NN,11,1,NN,U,1855219
2012,10,1,10,2,1,4,2,1,1,3,18,1,1,UUUU,1,M,20,11,2,1,1,1855236
2012,10,1,17,2,1,4,2,1,1,2,UU,1,14,UUUU,1,M,54,11,2,9,5,1855258
2012,10,1,17,2,2,21,2,1,1,2,UU,1,1,UUUU,1,M,34,11,1,NN,1,1855450
2012,10,1,17,2,2,21,2,1,1,2,UU,2,1,UUUU,1,F,40,11,2,2,1,1855450
2012,10,1,8,2,2,QQ,2,2,1,4,18,1,1,UUUU,1,N,NN,11,2,NN,1,1855531
2012,10,1,8,2,2,QQ,2,2,1,4,18,1,1,UUUU,2,F,35,13,2,2,2,1855531
2012,10,1,8,2,2,QQ,2,2,1,4,18,2,8,UUUU,1,M,41,11,1,NN,1,1855531
2012,10,1,8,2,2,UU,UU,1,1,1,UU,1,1,UUUU,1,M,55,11,1,NN,1,1855715
2012,10,1,8,2,2,UU,UU,1,1,1,UU,2,1,UUUU,1,F,34,11,2,NN,1,1855715
2012,10,1,19,2,2,QQ,UU,1,1,1,18,1,1,UUUU,1,M,16,11,2,2,1,1855765
2012,10,1,19,2,2,QQ,UU,1,1,1,18,2,1,UUUU,1,M,20,11,1,NN,1,1855765
2012,10,1,8,2,2,35,2,1,1,1,18,1,1,UUUU,1,F,28,11,2,2,1,1855796
2012,10,1,8,2,2,35,2,1,1,1,18,2,1,UUUU,1,M,27,11,1,NN,1,1855796
2012,10,1,12,2,3,35,2,1,1,1,1,1,NN,2000,1,N,NN,11,1,NN,U,1855952
2012,10,1,12,2,3,35,2,1,1,1,1,2,1,UUUU,1,F,44,11,1,NN,1,1855952
2012,10,1,12,2,3,35,2,1,1,1,1,3,1,UUUU,1,M,46,11,2,2,1,1855952
2012,10,1,12,2,3,35,2,1,1,1,1,4,1,UUUU,1,M,24,11,2,2,1,1855952
2012,10,1,20,2,1,3,2,3,2,2,UU,1,1,UUUU,1,F,75,12,2,UU,2,1856049
2012,10,1,20,2,1,3,2,3,2,2,UU,1,1,UUUU,2,F,43,13,1,UU,2,1856049
2012,10,1,20,2,1,3,2,3,2,2,UU,1,1,UUUU,3,M,39,11,1,NN,1,1856049
2012,10,1,12,2,2,QQ,UU,1,1,1,3,1,1,UUUU,1,F,52,11,2,2,1,1856065
2012,10,1,12,2,2,QQ,UU,1,1,1,3,2,1,UUUU,1,M,53,11,1,NN,1,1856065
2012,10,1,12,2,2,21,2,1,1,1,4,1,1,UUUU,1,M,27,11,1,NN,1,1856262
2012,10,1,12,2,2,21,2,1,1,1,4,2,1,UUUU,1,M,48,11,2,2,1,1856262
2012,10,1,8,2,2,21,UU,1,1,2,UU,1,1,UUUU,1,M,43,11,1,NN,1,1856279
2012,10,1,8,2,2,21,UU,1,1,2,UU,2,1,UUUU,1,F,52,11,2,2,1,1856279
2012,10,1,18,2,2,21,UU,1,1,4,3,1,1,UUUU,1,F,NN,11,2,2,1,1856293
2012,10,1,18,2,2,21,UU,1,1,4,3,2,1,UUUU,1,M,38,11,1,NN,1,1856293
2012,10,1,14,2,2,35,UU,1,1,1,18,1,1,UUUU,1,M,61,11,1,NN,1,1856294
2012,10,1,14,2,2,35,UU,1,1,1,18,2,1,UUUU,1,F,55,11,2,2,1,1856294
2012,10,1,15,2,2,QQ,2,1,1,1,18,1,1,UUUU,1,F,16,11,2,2,1,1856349
2012,10,1,15,2,2,QQ,2,1,1,1,18,2,1,UUUU,1,M,19,11,2,2,1,1856349
2012,10,1,15,2,2,21,1,2,1,1,18,2,1,2005,3,M,52,11,1,2,1,1856617
2012,10,1,15,2,2,21,1,2,1,1,18,2,1,2005,4,F,48,13,1,2,2,1856617
2012,10,1,15,2,2,21,1,2,1,1,18,2,1,2005,7,F,59,13,2,2,2,1856617
2012,10,1,15,2,2,21,1,2,1,1,18,UU,UU,UUUU,6,M,63,11,1,2,U,1856617
2012,10,1,20,2,1,2,QQ,2,1,1,18,1,1,2003,1,M,45,11,2,2,1,1856632
2012,10,1,22,2,1,4,2,3,7,3,18,1,1,2005,1,M,41,11,2,2,1,1856726
2012,10,1,13,1,2,35,2,1,1,1,3,1,1,2010,1,M,32,11,3,2,1,1856796
2012,10,1,13,1,2,35,2,1,1,1,3,1,1,2010,2,F,23,13,2,2,2,1856796
2012,10,1,13,1,2,35,2,1,1,1,3,1,1,2010,3,F,55,32,2,2,2,1856796
2012,10,1,13,1,2,35,2,1,1,1,3,2,1,2000,4,M,27,11,2,1,1,1856796
2012,10,1,13,1,2,35,2,1,1,1,3,2,1,2000,5,M,27,13,2,2,2,1856796
2012,10,1,14,1,1,3,QQ,1,2,1,18,1,1,1997,1,M,57,11,2,12,1,1856809
2012,10,1,14,1,1,3,QQ,1,2,1,18,1,1,1997,2,M,53,13,3,2,2,1856809
2012,10,1,3,2,1,4,2,2,1,4,18,1,1,2002,1,F,21,11,2,2,1,1856839
2012,10,1,12,2,1,2,QQ,1,1,1,18,1,1,2001,1,M,54,11,2,2,1,1856857
2012,10,1,13,2,2,32,1,1,1,1,18,1,1,2009,1,M,82,11,1,2,1,1856914
2012,10,1,13,2,2,32,1,1,1,1,18,2,14,2006,2,M,46,11,2,9,5,1856914
2012,10,1,10,2,2,21,2,1,1,1,1,1,1,2007,1,F,39,11,1,2,1,1856919
2012,10,1,10,2,2,21,2,1,1,1,1,2,1,2003,2,F,33,11,2,2,1,1856919
2012,10,1,10,2,2,21,2,1,1,1,1,2,1,2003,3,M,40,12,2,2,2,1856919
2012,10,1,8,2,1,4,2,1,1,3,18,1,1,2006,1,M,28,11,2,2,1,1856935
2012,10,1,12,2,2,21,1,1,1,2,18,1,7,2012,1,M,61,11,1,UU,1,1859317
2012,10,1,12,2,2,21,1,1,1,2,18,2,17,UUUU,1,M,26,11,2,NN,4,1859317
2012,10,1,19,2,2,35,2,2,1,1,1,1,1,2008,1,M,43,11,1,2,1,1859318
2012,10,1,19,2,2,35,2,2,1,1,1,1,1,2008,2,M,11,33,1,2,2,1859318
2012,10,1,19,2,2,35,2,2,1,1,1,2,17,UUUU,1,M,15,11,2,9,4,1859318
2012,10,1,12,2,2,35,2,1,1,1,1,1,1,1998,1,F,40,11,2,2,1,1859321
2012,10,1,12,2,2,35,2,1,1,1,1,1,1,1998,2,U,UU,QQ,N,NN,U,1859321
2012,10,1,12,2,2,35,2,1,1,1,1,2,1,2002,1,F,51,11,1,2,1,1859321
2012,10,1,12,2,2,35,2,1,1,1,1,2,1,2002,2,F,UU,13,1,2,2,1859321
