C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2016,4,1,21,2,2,QQ,1,1,1,1,18,1,1,2007,1,M,19,11,N,NN,1,2337836
2016,4,1,21,2,2,QQ,1,1,1,1,18,2,UU,2002,1,F,18,11,2,UU,U,2337836
2016,4,1,21,2,2,QQ,1,1,1,1,18,2,UU,2002,2,F,22,13,N,NN,U,2337836
2016,4,1,21,2,2,QQ,1,1,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337836
2016,4,1,21,2,2,QQ,1,1,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337836
2016,4,1,8,2,1,4,1,5,4,1,UU,1,1,2015,1,M,50,11,2,2,1,2337846
2016,4,1,20,2,1,3,1,5,4,4,18,1,1,2012,1,M,64,11,2,2,1,2337848
2016,4,1,20,2,1,3,1,5,4,4,18,1,1,2012,2,F,64,13,2,2,2,2337848
2016,4,1,15,2,1,4,1,1,1,1,18,1,16,UUUU,1,M,16,11,2,9,U,2337850
2016,4,1,13,2,1,3,1,2,1,4,UU,1,1,2012,1,F,19,QQ,2,2,U,2337853
2016,4,1,13,2,1,3,1,2,1,4,UU,1,1,2012,2,M,2,33,2,2,2,2337853
2016,4,1,13,2,1,3,1,2,1,4,UU,1,1,2012,UU,U,UU,UU,U,UU,U,2337853
2016,4,1,22,2,2,35,2,2,1,1,3,1,1,2016,1,M,34,11,1,2,1,2337866
2016,4,1,22,2,2,35,2,2,1,1,3,2,1,2015,1,F,38,11,2,2,1,2337866
2016,4,1,22,2,2,35,2,2,1,1,3,2,1,2015,2,M,17,13,1,2,2,2337866
2016,4,1,23,1,2,2,1,1,5,1,18,1,1,1998,1,M,46,11,N,1,1,2337871
2016,4,1,23,1,2,2,1,1,5,1,18,2,1,2008,UU,U,UU,UU,U,UU,U,2337871
2016,4,1,23,1,2,2,1,1,5,1,18,99,NN,NNNN,1,F,58,99,3,NN,3,2337871
2016,4,1,23,1,2,2,1,1,5,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337871
2016,4,1,6,2,1,4,1,3,9,6,18,1,1,2006,1,F,35,QQ,2,2,U,2337876
2016,4,1,6,2,1,4,1,3,9,6,18,1,1,2006,2,M,1,UU,N,NN,U,2337876
2016,4,1,6,2,1,4,1,3,9,6,18,1,1,2006,UU,U,UU,UU,U,UU,U,2337876
2016,4,1,6,2,1,4,1,3,9,6,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337876
2016,4,1,6,2,1,4,1,3,9,6,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337876
2016,4,1,7,2,1,3,1,2,1,5,18,1,1,2005,1,F,20,11,2,UU,1,2337976
2016,4,1,7,2,1,3,1,2,1,5,18,1,1,2005,2,M,44,QQ,N,NN,U,2337976
2016,4,1,17,2,2,23,1,1,1,1,18,1,1,2010,1,M,52,QQ,1,2,U,2337980
2016,4,1,17,2,2,23,1,1,1,1,18,1,1,2010,2,F,43,13,1,2,2,2337980
2016,4,1,17,2,2,23,1,1,1,1,18,1,1,2010,3,M,11,23,1,2,2,2337980
2016,4,1,17,2,2,23,1,1,1,1,18,1,1,2010,UU,U,UU,UU,U,UU,U,2337980
2016,4,1,17,2,2,23,1,1,1,1,18,2,1,2010,1,F,27,QQ,2,2,U,2337980
2016,4,1,17,2,2,23,1,1,1,1,18,2,1,2010,UU,U,UU,UU,U,UU,U,2337980
2016,4,1,6,2,1,3,2,3,2,2,1,1,1,2016,1,M,24,11,2,UU,1,2338015
2016,4,1,6,2,1,3,2,3,2,2,1,1,1,2016,2,F,51,QQ,N,NN,U,2338015
2016,4,1,20,2,2,QQ,QQ,3,2,U,UU,1,1,2013,1,F,51,QQ,2,2,U,2338025
2016,4,1,20,2,2,QQ,QQ,3,2,U,UU,1,1,2013,UU,U,UU,UU,U,UU,U,2338025
2016,4,1,20,2,2,QQ,QQ,3,2,U,UU,2,1,2015,1,F,75,QQ,1,2,U,2338025
2016,4,1,20,2,2,QQ,QQ,3,2,U,UU,2,1,2015,2,M,1,13,1,2,2,2338025
2016,4,1,20,2,2,QQ,QQ,3,2,U,UU,2,1,2015,UU,U,UU,UU,U,UU,U,2338025
2016,4,1,0,2,1,2,1,1,1,1,18,1,1,1999,1,M,25,11,1,2,1,2338077
2016,4,1,0,2,1,2,1,1,1,1,18,99,NN,NNNN,1,F,33,99,2,NN,3,2338077
2016,4,1,0,2,1,2,1,1,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338077
