C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2016,10,1,19,2,2,2,1,1,1,1,8,1,1,2012,1,F,43,11,2,2,1,2338862
2016,10,1,19,2,2,2,1,1,1,1,8,2,1,2016,1,F,34,11,1,2,1,2338862
2016,10,1,19,2,2,2,1,1,1,1,8,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338862
2016,10,1,19,2,2,2,1,1,1,1,8,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338862
2016,10,1,22,2,2,32,UU,1,1,2,UU,1,1,2013,1,M,19,11,1,2,1,2338936
2016,10,1,22,2,2,32,UU,1,1,2,UU,2,16,2016,2,M,20,11,2,NN,U,2338936
2016,10,1,22,2,2,32,UU,1,1,2,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338936
2016,10,1,22,2,2,32,UU,1,1,2,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338936
2016,10,1,19,2,1,2,2,2,1,1,6,1,1,2005,1,M,24,QQ,1,2,U,2338947
2016,10,1,19,2,1,2,2,2,1,1,6,1,1,2005,2,F,21,13,1,2,2,2338947
2016,10,1,19,2,1,2,2,2,1,1,6,1,1,2005,UU,U,UU,UU,U,UU,U,2338947
2016,10,1,19,2,1,2,2,2,1,1,6,99,NN,NNNN,1,M,31,99,2,NN,3,2338947
2016,10,1,12,2,2,21,1,1,1,1,6,1,1,2007,1,M,33,QQ,2,2,U,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,1,1,2007,2,F,30,13,2,2,2,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,1,1,2007,UU,U,UU,UU,U,UU,U,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,2,1,2001,1,F,19,11,1,2,1,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,2,1,2001,2,M,14,13,1,2,2,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,2,1,2001,3,F,39,QQ,N,NN,U,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338956
2016,10,1,12,2,2,21,1,1,1,1,6,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338956
2016,10,1,13,2,2,31,1,2,1,1,UU,1,1,2016,1,F,51,11,1,2,1,2338968
2016,10,1,13,2,2,31,1,2,1,1,UU,1,1,2016,2,M,50,13,2,2,2,2338968
2016,10,1,13,2,2,31,1,2,1,1,UU,2,1,2014,1,M,78,11,1,2,1,2338968
2016,10,1,13,2,1,3,1,2,2,1,18,1,16,2004,1,M,37,11,2,13,U,2338978
2016,10,1,13,2,1,3,1,2,2,1,18,1,16,2004,2,F,29,21,2,13,U,2338978
2016,10,1,9,2,1,3,1,1,2,1,18,1,1,2013,1,F,28,11,2,2,1,2338981
2016,10,1,9,2,1,3,1,1,2,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338981
2016,10,1,9,2,1,3,1,1,2,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2338981
2016,10,1,2,2,1,2,1,1,1,1,18,1,1,2004,1,M,39,11,2,2,1,2338989
2016,10,1,2,2,1,2,1,1,1,1,18,1,1,2004,2,M,19,21,1,2,2,2338989
2016,10,1,2,2,1,2,1,1,1,1,18,1,1,2004,3,F,17,23,2,2,2,2338989
2016,10,1,17,2,2,21,2,2,1,1,1,1,1,2003,1,M,34,11,2,2,1,2339008
2016,10,1,17,2,2,21,2,2,1,1,1,1,1,2003,2,F,34,QQ,2,2,U,2339008
2016,10,1,17,2,2,21,2,2,1,1,1,2,1,2016,1,F,34,QQ,1,2,U,2339008
2016,10,1,17,2,2,21,2,2,1,1,1,2,1,2016,UU,U,UU,UU,U,UU,U,2339008
2016,10,1,23,2,1,5,1,1,1,1,UU,1,1,2008,1,F,25,11,2,2,1,2339012
2016,10,1,23,2,1,5,1,1,1,1,UU,1,1,2008,2,F,49,QQ,N,NN,U,2339012
2016,10,1,23,2,1,5,1,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339012
2016,10,1,23,2,1,5,1,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339012
2016,10,1,14,2,2,41,1,1,1,1,18,1,1,2014,1,M,53,11,1,2,1,2339018
2016,10,1,14,2,2,41,1,1,1,1,18,1,1,2014,2,F,53,13,2,2,2,2339018
2016,10,1,14,2,2,41,1,1,1,1,18,2,1,2006,1,M,63,11,1,2,1,2339018
2016,10,1,19,2,1,4,1,2,1,1,18,1,1,2011,1,F,18,11,2,2,1,2339021
2016,10,1,19,2,1,4,1,2,1,1,18,2,UU,2003,UU,U,UU,UU,U,UU,U,2339021
2016,10,1,19,2,1,4,1,2,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339021
2016,10,1,19,2,1,4,1,2,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339021
2016,10,1,18,2,2,33,2,1,2,1,1,1,1,2013,1,M,52,11,1,2,1,2339027
2016,10,1,18,2,2,33,2,1,2,1,1,2,1,2005,2,M,18,11,2,2,1,2339027
2016,10,1,UU,2,2,5,UU,3,2,1,18,1,1,2009,1,M,30,11,2,2,1,2339052
2016,10,1,UU,2,2,5,UU,3,2,1,18,2,1,2010,UU,U,UU,UU,U,UU,U,2339052
2016,10,1,9,2,1,3,1,3,2,1,UU,1,1,2013,1,M,65,QQ,1,UU,U,2339057
2016,10,1,9,2,1,3,1,3,2,1,UU,1,1,2013,2,F,62,13,2,UU,2,2339057
2016,10,1,9,2,1,3,1,3,2,1,UU,1,1,2013,UU,U,UU,UU,U,UU,U,2339057
2016,10,1,22,2,1,5,1,2,2,1,18,1,1,2009,1,F,20,QQ,2,2,U,2339097
2016,10,1,22,2,1,5,1,2,2,1,18,1,1,2009,UU,U,UU,UU,U,UU,U,2339097
2016,10,1,15,2,4,21,3,6,2,1,1,1,1,2013,1,M,35,QQ,1,2,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,1,1,2013,2,F,33,13,1,2,2,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,1,1,2013,3,F,1,23,1,2,2,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,1,1,2013,UU,U,UU,UU,U,UU,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,2,1,2013,1,M,42,QQ,1,2,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,2,1,2013,1,F,35,13,1,2,2,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,2,1,2013,UU,U,UU,UU,U,UU,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,3,1,2009,1,M,54,11,2,2,1,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,3,1,2009,2,M,57,QQ,N,NN,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,4,1,2009,1,F,35,QQ,1,2,U,2339104
2016,10,1,15,2,4,21,3,6,2,1,1,4,1,2009,UU,U,UU,UU,U,UU,U,2339104
2016,10,1,14,2,2,4,UU,2,1,2,18,1,1,2004,1,M,60,11,2,2,1,2339106
2016,10,1,14,2,2,4,UU,2,1,2,18,2,1,2010,UU,U,UU,UU,U,UU,U,2339106
2016,10,1,20,2,1,4,1,1,1,1,UU,1,1,2006,1,F,23,11,2,UU,1,2339109
2016,10,1,18,2,2,23,1,1,1,1,18,1,1,1999,1,M,53,11,1,2,1,2339116
2016,10,1,18,2,2,23,1,1,1,1,18,2,1,2013,1,F,20,11,2,2,1,2339116
2016,10,1,18,2,2,23,1,1,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339116
2016,10,1,18,2,2,23,1,1,1,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339116
2016,10,1,14,2,1,4,1,3,2,2,1,1,1,2016,1,M,23,11,2,2,1,2339123
2016,10,1,14,2,1,4,1,3,2,2,1,1,1,2016,2,F,28,13,2,2,2,2339123
2016,10,1,14,2,1,4,1,3,2,2,1,1,1,2016,3,M,3,23,2,2,2,2339123
2016,10,1,14,2,1,4,1,3,2,2,1,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339123
2016,10,1,14,2,1,4,1,3,2,2,1,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2339123
2016,10,1,16,2,2,33,1,1,1,1,18,1,1,2008,1,M,47,QQ,2,2,U,2339134
2016,10,1,16,2,2,33,1,1,1,1,18,1,1,2008,2,F,45,13,2,2,2,2339134
2016,10,1,16,2,2,33,1,1,1,1,18,1,1,2008,UU,U,UU,UU,U,UU,U,2339134
2016,10,1,16,2,2,33,1,1,1,1,18,2,1,2015,1,F,36,QQ,2,2,U,2339134
2016,10,1,16,2,2,33,1,1,1,1,18,2,1,2015,UU,U,UU,UU,U,UU,U,2339134
2016,10,1,13,2,2,21,2,1,1,1,4,1,1,2009,1,F,66,QQ,2,2,U,2339136
2016,10,1,13,2,2,21,2,1,1,1,4,1,1,2009,2,M,36,13,1,2,2,2339136
2016,10,1,13,2,2,21,2,1,1,1,4,1,1,2009,UU,U,UU,UU,U,UU,U,2339136
2016,10,1,13,2,2,21,2,1,1,1,4,2,1,2007,1,M,37,QQ,1,2,U,2339136
2016,10,1,13,2,2,21,2,1,1,1,4,2,1,2007,UU,U,UU,UU,U,UU,U,2339136
2016,10,1,12,2,2,31,1,1,1,1,UU,1,1,2012,1,M,66,11,2,2,1,2339149
2016,10,1,12,2,2,31,1,1,1,1,UU,1,1,2012,2,F,67,13,2,2,2,2339149
2016,10,1,12,2,2,31,1,1,1,1,UU,1,1,2012,3,F,35,21,2,2,2,2339149
2016,10,1,12,2,2,31,1,1,1,1,UU,1,1,2012,3,M,1,23,1,2,2,2339149
