C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2010,11,1,9,2,3,UU,2,3,2,1,UU,1,QQ,2000,1,N,NN,NN,N,NN,U,1605082
2010,11,1,9,2,3,UU,2,3,2,1,UU,2,UU,NNNN,1,M,31,11,2,2,U,1605082
2010,11,1,9,2,3,UU,2,3,2,1,UU,3,1,UUUU,1,M,65,11,1,NN,1,1605082
2010,11,1,9,2,3,UU,2,3,2,1,UU,4,1,UUUU,1,M,31,11,1,NN,1,1605082
2010,11,1,9,2,3,UU,2,3,2,1,UU,5,1,UUUU,1,M,43,11,2,2,1,1605082
2010,11,1,15,2,2,QQ,2,1,1,1,UU,1,1,UUUU,1,M,63,11,2,2,1,1605505
2010,11,1,15,2,2,QQ,2,1,1,1,UU,2,20,UUUU,1,M,49,11,1,NN,U,1605505
2010,11,1,19,2,2,31,2,1,2,1,18,1,20,UUUU,1,M,52,11,1,NN,U,1605518
2010,11,1,19,2,2,31,2,1,2,1,18,2,1,UUUU,1,F,NN,11,2,NN,1,1605518
2010,11,1,11,2,1,3,2,1,2,1,18,1,1,UUUU,1,F,48,11,2,2,1,1605666
2010,11,1,16,2,1,UU,UU,4,3,3,18,1,1,UUUU,1,M,9,23,2,2,2,1605707
2010,11,1,16,2,1,UU,UU,4,3,3,18,1,1,UUUU,2,F,33,11,1,NN,1,1605707
2010,11,1,9,2,2,UU,8,1,1,1,3,1,1,UUUU,1,F,34,13,2,2,2,1605756
2010,11,1,9,2,2,UU,8,1,1,1,3,1,1,UUUU,2,M,37,11,1,NN,1,1605756
2010,11,1,9,2,2,UU,8,1,1,1,3,2,NN,UUUU,1,F,26,11,1,NN,U,1605756
2010,11,1,20,2,2,35,3,1,1,1,18,1,1,UUUU,1,M,69,11,1,NN,1,1605768
2010,11,1,20,2,2,35,3,1,1,1,18,2,1,UUUU,1,F,56,11,2,2,1,1605768
2010,11,1,20,2,2,35,3,1,1,1,18,2,1,UUUU,2,F,67,13,2,2,2,1605768
2010,11,1,12,2,2,QQ,UU,1,1,1,3,1,1,UUUU,1,F,25,11,1,NN,1,1605819
2010,11,1,12,2,2,QQ,UU,1,1,1,3,2,1,UUUU,1,F,40,12,2,2,2,1605819
2010,11,1,12,2,2,QQ,UU,1,1,1,3,2,1,UUUU,2,M,52,11,1,NN,1,1605819
2010,11,1,14,2,2,35,3,1,1,2,UU,1,1,2000,1,N,NN,11,1,NN,1,1605820
2010,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,1,F,86,11,2,2,1,1605820
2010,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,2,F,NN,13,2,2,2,1605820
2010,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,3,F,NN,21,2,2,2,1605820
2010,11,1,19,2,2,33,2,1,1,1,1,1,1,UUUU,1,M,7,21,2,2,2,1605849
2010,11,1,19,2,2,33,2,1,1,1,1,1,1,UUUU,2,F,64,11,1,NN,1,1605849
2010,11,1,19,2,2,33,2,1,1,1,1,2,1,UUUU,1,F,21,11,2,2,1,1605849
2010,11,1,8,2,1,UU,UU,2,2,5,UU,1,1,UUUU,1,F,46,11,2,NN,1,1605856
2010,11,1,17,2,2,35,2,1,1,1,18,1,1,UUUU,1,F,NN,11,2,NN,1,1605968
2010,11,1,17,2,2,35,2,1,1,1,18,2,1,UUUU,1,M,33,11,1,NN,1,1605968
2010,11,1,17,2,3,2,2,3,2,1,18,1,NN,2000,1,N,NN,11,1,NN,U,1606036
2010,11,1,17,2,3,2,2,3,2,1,18,2,1,UUUU,1,F,26,11,2,2,1,1606036
2010,11,1,17,2,3,2,2,3,2,1,18,3,1,UUUU,1,N,NN,NN,N,NN,U,1606036
2010,11,1,17,2,3,2,2,3,2,1,18,3,1,UUUU,2,F,32,11,2,2,1,1606036
2010,11,1,17,2,3,2,2,3,2,1,18,4,1,UUUU,1,F,NN,13,2,2,2,1606036
2010,11,1,17,2,3,2,2,3,2,1,18,4,1,UUUU,2,M,20,11,1,NN,1,1606036
2010,11,1,8,2,1,4,UU,2,5,1,UU,1,1,UUUU,1,F,22,11,2,2,1,1606181
2010,11,1,17,2,2,QQ,UU,1,1,1,1,1,1,UUUU,1,F,72,13,2,2,2,1606193
2010,11,1,17,2,2,QQ,UU,1,1,1,1,1,1,UUUU,2,M,76,11,1,NN,1,1606193
2010,11,1,17,2,2,QQ,UU,1,1,1,1,2,1,UUUU,1,M,19,11,1,NN,1,1606193
2010,11,1,8,1,1,4,UU,1,1,1,18,1,1,UUUU,1,M,18,11,3,1,1,1606209
2010,11,1,13,2,2,21,2,2,1,1,3,1,1,UUUU,1,M,54,11,2,2,1,1606410
2010,11,1,13,2,2,21,2,2,1,1,3,1,1,UUUU,2,F,50,13,2,2,2,1606410
2010,11,1,13,2,2,21,2,2,1,1,3,2,1,UUUU,1,M,21,11,1,NN,1,1606410
2010,11,1,17,2,2,UU,UU,1,1,1,1,1,1,UUUU,1,M,55,11,1,NN,1,1606447
2010,11,1,17,2,2,UU,UU,1,1,1,1,2,1,UUUU,1,M,47,11,2,2,1,1606447
2010,11,1,14,2,2,21,UU,2,1,1,1,1,1,UUUU,1,M,21,11,1,NN,1,1606453
2010,11,1,14,2,2,21,UU,2,1,1,1,2,1,UUUU,1,F,46,11,2,2,1,1606453
2010,11,1,22,2,1,4,UU,1,1,4,18,1,5,UUUU,1,M,48,13,2,2,2,1606479
2010,11,1,22,2,1,4,UU,1,1,4,18,1,5,UUUU,2,M,40,23,2,2,2,1606479
2010,11,1,22,2,1,4,UU,1,1,4,18,1,5,UUUU,3,M,40,11,1,NN,1,1606479
2010,11,1,20,2,2,35,1,3,2,1,18,1,1,1999,1,F,55,11,2,2,1,1606655
2010,11,1,20,2,2,35,1,3,2,1,18,2,1,2010,2,M,42,11,1,2,1,1606655
2010,11,1,20,2,2,35,1,3,2,1,18,2,1,2010,3,F,10,23,1,2,2,1606655
2010,11,1,14,2,2,35,1,3,2,1,3,1,1,2009,1,F,73,11,2,12,1,1606680
2010,11,1,14,2,2,35,1,3,2,1,3,2,1,2000,2,F,62,11,2,2,1,1606680
2010,11,1,16,2,2,21,2,1,1,1,1,1,1,2007,1,M,63,11,1,2,1,1606722
2010,11,1,16,2,2,21,2,1,1,1,1,2,1,2010,2,F,36,11,2,2,1,1606722
2010,11,1,21,2,1,4,QQ,1,5,4,18,1,1,2010,1,M,21,11,2,1,1,1606738
2010,11,1,21,2,1,4,QQ,1,5,4,18,1,1,2010,2,F,20,13,1,12,2,1606738
2010,11,1,16,2,2,21,QQ,1,1,1,18,1,1,1995,1,M,85,11,1,1,1,1606845
2010,11,1,16,2,2,21,QQ,1,1,1,18,2,1,2010,2,F,29,11,2,1,1,1606845
2010,11,1,15,2,2,21,1,3,2,2,18,1,1,1994,1,F,25,11,2,2,1,1607005
2010,11,1,15,2,2,21,1,3,2,2,18,2,1,1999,2,F,61,11,2,2,1,1607005
2010,11,1,16,2,2,21,1,1,1,1,1,1,1,2009,1,M,53,11,2,2,1,1607103
2010,11,1,16,2,2,21,1,1,1,1,1,2,1,2002,2,F,19,11,1,2,1,1607103
2010,11,1,6,2,1,5,8,1,1,3,10,1,8,2000,1,F,34,11,2,2,1,1607116
2010,11,1,18,2,1,2,2,3,2,1,1,1,8,1999,1,M,43,11,1,2,1,1609604
2010,11,1,18,2,1,2,2,3,2,1,1,99,NN,NNNN,1,M,61,99,2,NN,3,1609604
2010,11,1,17,2,1,2,1,1,1,1,UU,1,1,2005,1,M,19,11,2,UU,1,1609898
2010,11,1,17,2,1,2,1,1,1,1,UU,1,1,2005,2,F,45,QQ,N,NN,U,1609898
2010,11,1,11,2,1,UU,UU,3,2,U,UU,1,1,2006,1,F,38,11,2,2,1,1609900
2010,11,1,11,2,1,UU,UU,3,2,U,UU,1,1,2006,2,F,66,13,2,2,2,1609900
2010,11,1,11,2,1,UU,UU,3,2,U,UU,1,1,2006,3,M,4,21,2,2,2,1609900
2010,11,1,11,2,1,UU,UU,3,2,U,UU,1,1,2006,4,M,6,23,2,2,2,1609900
2010,11,1,11,2,1,UU,UU,3,2,U,UU,1,1,2006,5,U,UU,QQ,N,NN,U,1609900
2010,11,1,11,2,1,UU,UU,3,2,U,UU,99,NN,NNNN,1,U,43,QQ,N,NN,3,1609900
2010,11,1,11,2,1,3,1,3,2,1,UU,1,1,1995,1,F,50,11,2,2,1,1609913
2010,11,1,20,2,1,4,1,1,1,3,18,1,1,2001,1,F,20,11,2,2,1,1609944
2010,11,1,20,2,1,4,1,1,1,3,18,1,1,2001,2,F,20,13,2,2,2,1609944
2010,11,1,20,2,1,4,1,1,1,3,18,1,1,2001,3,F,19,22,2,2,2,1609944
2010,11,1,20,2,1,4,1,1,1,3,18,1,1,2001,4,F,50,QQ,N,NN,U,1609944
2010,11,1,1,2,1,3,1,2,2,U,18,1,1,2005,1,M,17,11,2,2,1,1609958
2010,11,1,1,2,1,3,1,2,2,U,18,1,1,2005,2,M,18,QQ,N,NN,U,1609958
2010,11,1,3,2,3,41,1,3,2,1,UU,1,1,2000,1,M,21,11,2,UU,1,1609963
2010,11,1,3,2,3,41,1,3,2,1,UU,2,1,2002,1,M,22,98,N,NN,U,1609963
2010,11,1,3,2,3,41,1,3,2,1,UU,2,1,2002,2,M,49,QQ,N,NN,U,1609963
2010,11,1,3,2,3,41,1,3,2,1,UU,3,1,2002,1,M,22,QQ,N,NN,U,1609963
2010,11,1,14,2,2,21,3,1,1,3,18,1,1,2005,1,F,14,13,2,2,2,1609965
2010,11,1,14,2,2,21,3,1,1,3,18,1,1,2005,2,M,47,11,1,2,1,1609965
2010,11,1,14,2,2,21,3,1,1,3,18,2,1,2003,1,F,22,11,1,2,1,1609965
2010,11,1,13,2,2,33,2,1,1,1,1,1,1,2010,1,F,44,11,1,2,1,1609973
2010,11,1,13,2,2,33,2,1,1,1,1,2,1,2008,1,M,9,22,2,2,2,1609973
2010,11,1,13,2,2,33,2,1,1,1,1,2,1,2008,2,M,6,23,2,2,2,1609973
2010,11,1,13,2,2,33,2,1,1,1,1,2,1,2008,3,M,32,11,1,2,1,1609973
2010,11,1,13,2,1,3,1,1,1,4,18,1,1,2000,1,F,23,11,2,2,1,1610008
2010,11,1,13,2,1,3,1,1,1,4,18,1,1,2000,2,M,24,13,1,2,2,1610008
2010,11,1,13,2,1,3,1,1,1,4,18,1,1,2000,3,F,74,33,2,2,2,1610008
2010,11,1,13,2,1,3,1,1,1,4,18,1,1,2000,4,U,UU,QQ,N,NN,U,1610008
2010,11,1,13,2,1,3,1,1,1,4,18,99,NN,NNNN,1,M,51,QQ,N,NN,3,1610008
2010,11,1,12,2,1,4,1,4,3,4,18,1,1,2004,1,F,68,11,2,2,1,1610059
2010,11,1,12,2,1,4,1,4,3,4,18,99,NN,NNNN,1,M,45,QQ,N,NN,3,1610059
2010,11,1,18,2,1,2,1,1,1,1,18,1,1,2007,1,F,51,11,1,2,1,1610060
2010,11,1,18,2,1,2,1,1,1,1,18,1,1,2007,2,F,49,13,1,2,2,1610060
2010,11,1,18,2,1,2,1,1,1,1,18,1,1,2007,3,U,UU,QQ,N,NN,U,1610060
2010,11,1,18,2,1,2,1,1,1,1,18,99,NN,NNNN,1,M,62,99,2,NN,3,1610060
2010,11,1,7,2,1,3,1,1,5,2,12,1,1,2007,1,M,23,11,2,2,1,1610064
2010,11,1,16,2,2,31,1,4,5,1,UU,1,1,2005,1,F,18,13,2,2,2,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,1,1,2005,2,M,49,11,1,2,1,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,2,1,1998,1,M,52,13,2,2,2,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,2,1,1998,2,F,52,21,2,2,2,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,2,1,1998,3,M,6,22,2,2,2,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,2,1,1998,4,F,6,23,2,2,2,1610081
2010,11,1,16,2,2,31,1,4,5,1,UU,2,1,1998,5,F,27,11,1,2,1,1610081
2010,11,1,1,2,2,23,UU,4,4,1,UU,1,1,2005,1,M,37,11,1,2,1,1610082
2010,11,1,1,2,2,23,UU,4,4,1,UU,2,1,1997,1,F,51,11,2,2,1,1610082
