C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2003,8,1,8,2,1,QQ,UU,3,2,1,UU,1,1,UUUU,1,F,40,11,2,2,1,615058
2003,8,1,23,2,1,QQ,2,1,1,3,18,1,1,UUUU,1,F,17,11,2,2,1,615060
2003,8,1,23,2,1,QQ,2,1,1,3,18,1,1,UUUU,2,F,19,12,2,2,2,615060
2003,8,1,23,2,1,QQ,2,1,1,3,18,1,1,UUUU,3,M,18,12,2,2,2,615060
2003,8,1,23,2,1,QQ,2,1,1,3,18,1,1,UUUU,4,M,22,12,2,1,2,615060
2003,8,1,8,2,1,3,2,3,2,1,UU,1,1,UUUU,1,F,NN,13,2,2,2,615062
2003,8,1,8,2,1,3,2,3,2,1,UU,1,1,UUUU,2,F,15,21,2,2,2,615062
2003,8,1,8,2,1,3,2,3,2,1,UU,1,1,UUUU,3,F,15,23,2,2,2,615062
2003,8,1,8,2,1,3,2,3,2,1,UU,1,1,UUUU,4,M,54,11,1,NN,1,615062
2003,8,1,14,2,2,2,UU,1,1,1,1,1,1,UUUU,1,M,41,11,2,2,1,615255
2003,8,1,14,2,2,2,UU,1,1,1,1,2,1,UUUU,1,F,20,11,1,NN,1,615255
2003,8,1,13,2,1,3,UU,1,2,2,18,1,1,UUUU,1,M,68,11,2,12,1,615404
2003,8,1,9,2,2,21,2,2,2,2,18,1,20,UUUU,1,M,30,11,2,2,U,615430
2003,8,1,9,2,2,21,2,2,2,2,18,2,1,UUUU,1,M,62,11,2,2,1,615430
2003,8,1,13,2,2,35,UU,1,1,U,18,1,16,UUUU,1,M,15,11,2,13,U,615631
2003,8,1,13,2,2,35,UU,1,1,U,18,2,1,UUUU,1,F,52,11,1,NN,1,615631
2003,8,1,8,2,1,3,UU,3,2,3,UU,1,1,UUUU,1,M,NN,11,2,2,1,615692
2003,8,1,8,2,1,3,UU,3,2,3,UU,1,1,UUUU,2,F,NN,12,2,1,2,615692
2003,8,1,8,2,1,3,UU,3,2,3,UU,1,1,UUUU,3,M,NN,13,2,1,2,615692
2003,8,1,8,2,1,3,UU,3,2,3,UU,1,1,UUUU,4,F,NN,21,2,1,2,615692
2003,8,1,10,2,2,21,UU,1,1,1,1,1,1,UUUU,1,M,43,11,2,2,1,615846
2003,8,1,10,2,2,21,UU,1,1,1,1,2,1,UUUU,1,M,22,11,1,NN,1,615846
2003,8,1,10,2,2,21,UU,1,1,1,1,1,1,UUUU,1,M,NN,11,2,2,1,615848
2003,8,1,10,2,2,21,UU,1,1,1,1,2,7,UUUU,1,M,22,11,1,NN,1,615848
2003,8,1,9,2,3,21,2,1,1,2,1,1,1,UUUU,1,M,58,11,2,2,1,615911
2003,8,1,9,2,3,21,2,1,1,2,1,2,NN,2000,1,N,NN,11,1,NN,U,615911
2003,8,1,9,2,3,21,2,1,1,2,1,3,1,UUUU,1,M,39,11,1,NN,1,615911
2003,8,1,9,2,3,21,2,1,1,2,1,4,1,2000,1,M,51,11,1,NN,1,615911
2003,8,1,14,2,2,21,UU,2,1,2,1,1,1,UUUU,1,M,56,11,2,2,1,616036
2003,8,1,14,2,2,21,UU,2,1,2,1,2,1,UUUU,1,M,37,11,1,NN,1,616036
2003,8,1,12,2,2,21,UU,2,2,2,18,1,1,UUUU,1,F,20,11,2,2,1,616037
2003,8,1,12,2,2,21,UU,2,2,2,18,2,1,UUUU,1,M,20,11,1,NN,1,616037
2003,8,1,13,2,2,21,UU,1,1,1,3,1,1,UUUU,1,F,23,11,2,2,1,616039
2003,8,1,13,2,2,21,UU,1,1,1,3,2,1,UUUU,1,M,27,11,1,NN,1,616039
2003,8,1,18,2,1,QQ,UU,1,1,2,18,1,1,UUUU,1,M,48,11,1,NN,1,616067
