C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2003,6,1,15,2,2,UU,2,1,1,1,3,1,1,UUUU,1,F,18,11,2,2,1,615151
2003,6,1,15,2,2,UU,2,1,1,1,3,1,1,UUUU,2,F,18,13,2,2,2,615151
2003,6,1,15,2,2,UU,2,1,1,1,3,2,1,UUUU,1,F,22,11,1,NN,1,615151
2003,6,1,6,2,1,3,2,1,1,1,UU,1,1,UUUU,1,M,76,11,2,2,1,615178
2003,6,1,6,2,1,3,2,1,1,1,UU,1,1,UUUU,2,F,72,13,2,2,2,615178
2003,6,1,6,2,1,3,2,1,1,1,UU,1,1,UUUU,3,F,20,23,2,2,2,615178
2003,6,1,11,2,1,3,UU,1,1,1,UU,1,1,UUUU,1,M,37,11,2,2,1,615323
2003,6,1,11,2,1,3,UU,1,1,1,UU,1,1,UUUU,2,F,35,13,2,2,2,615323
2003,6,1,0,2,1,3,UU,2,1,1,18,1,1,UUUU,1,M,18,11,2,2,1,615329
2003,6,1,15,2,2,33,UU,1,1,1,1,1,1,UUUU,1,F,26,11,2,2,1,615362
2003,6,1,15,2,2,33,UU,1,1,1,1,2,1,UUUU,1,F,24,11,2,2,1,615362
2003,6,1,0,2,2,QQ,2,1,1,1,1,1,1,UUUU,1,F,52,11,2,2,1,615416
2003,6,1,0,2,2,QQ,2,1,1,1,1,2,1,UUUU,1,M,17,11,1,NN,1,615416
2003,6,1,16,2,3,21,UU,1,1,1,UU,1,1,UUUU,1,F,42,11,1,NN,1,615449
2003,6,1,16,2,3,21,UU,1,1,1,UU,2,NN,2000,1,N,NN,11,1,NN,U,615449
2003,6,1,16,2,3,21,UU,1,1,1,UU,3,1,UUUU,1,M,32,11,1,NN,1,615449
2003,6,1,16,2,3,21,UU,1,1,1,UU,4,1,UUUU,1,F,31,11,2,2,1,615449
2003,6,1,17,2,1,3,UU,1,1,U,18,1,1,UUUU,1,M,51,11,2,2,1,615678
2003,6,1,16,2,2,21,UU,1,1,1,18,1,1,UUUU,1,M,28,11,1,NN,1,615889
2003,6,1,16,2,2,21,UU,1,1,1,18,2,1,UUUU,1,M,21,11,2,2,1,615889
2003,6,1,14,2,2,35,UU,1,1,4,3,1,1,UUUU,1,F,51,11,2,2,1,616105
2003,6,1,14,2,2,35,UU,1,1,4,3,2,1,UUUU,1,F,39,11,2,2,1,616105
2003,6,1,13,2,2,21,UU,2,1,1,18,1,1,UUUU,1,F,21,11,1,NN,1,616107
2003,6,1,13,2,2,21,UU,2,1,1,18,2,1,UUUU,1,M,39,11,2,2,1,616107
2003,6,1,12,2,2,35,UU,1,1,1,1,1,1,UUUU,1,M,36,11,2,2,1,616110
2003,6,1,12,2,2,35,UU,1,1,1,1,2,1,UUUU,1,F,30,11,1,NN,1,616110
2003,6,1,14,2,2,35,2,1,1,5,18,1,1,UUUU,1,F,34,11,1,NN,1,616118
2003,6,1,14,2,2,35,2,1,1,5,18,2,NN,2000,1,N,NN,NN,N,NN,U,616118
2003,6,1,14,2,2,35,2,1,1,5,18,2,NN,2000,2,N,NN,NN,N,NN,U,616118
2003,6,1,14,2,2,35,2,1,1,5,18,3,UU,NNNN,1,F,34,11,2,2,U,616118
2003,6,1,14,2,2,35,2,1,1,5,18,3,UU,NNNN,2,F,37,13,2,2,U,616118
2003,6,1,14,2,2,35,2,1,1,5,18,4,1,UUUU,1,M,20,11,2,2,1,616118
2003,6,1,14,2,2,35,2,1,1,5,18,4,1,UUUU,2,F,17,13,2,2,2,616118
2003,6,1,14,2,2,35,2,1,1,5,18,4,1,UUUU,3,M,19,21,2,2,2,616118
2003,6,1,14,2,2,35,2,1,1,5,18,4,1,UUUU,4,M,19,23,2,2,2,616118
2003,6,1,7,2,1,UU,UU,1,1,1,6,1,1,UUUU,1,F,20,11,1,NN,1,616125
2003,6,1,7,2,1,UU,UU,1,1,1,6,99,NN,NNNN,1,F,16,99,2,13,3,616125
2003,6,1,19,2,1,4,2,1,1,3,18,1,7,UUUU,1,M,52,11,2,2,1,616191
2003,6,1,22,2,1,2,UU,2,1,2,18,1,1,UUUU,1,F,21,11,2,2,1,616416
2003,6,1,22,2,1,2,UU,2,1,2,18,1,1,UUUU,2,M,20,13,2,2,2,616416
2003,6,1,22,2,1,2,UU,2,1,2,18,1,1,UUUU,3,F,20,21,2,2,2,616416
2003,6,1,16,2,1,2,UU,1,1,3,18,1,UU,NNNN,1,M,11,NN,2,9,U,616662
2003,6,1,16,2,1,2,UU,1,1,3,18,1,UU,NNNN,2,U,NN,11,1,NN,U,616662
2003,6,1,16,2,1,2,UU,1,1,3,18,2,1,UUUU,1,F,18,11,1,NN,1,616662
2003,6,1,19,2,3,21,1,2,2,1,1,1,1,1999,1,M,17,11,1,2,1,617179
2003,6,1,19,2,3,21,1,2,2,1,1,1,1,1999,2,U,UU,13,1,2,2,617179
2003,6,1,19,2,3,21,1,2,2,1,1,2,1,1996,3,F,50,11,2,2,1,617179
2003,6,1,19,2,3,21,1,2,2,1,1,3,1,1997,4,M,25,11,1,2,1,617179
2003,6,1,19,2,3,21,1,2,2,1,1,3,1,1997,5,F,23,13,2,2,2,617179
2003,6,1,15,2,2,QQ,QQ,1,1,1,18,1,1,1993,1,F,41,11,2,2,1,617193
2003,6,1,15,2,2,QQ,QQ,1,1,1,18,2,1,1992,2,M,45,11,1,2,1,617193
2003,6,1,1,2,1,3,2,2,1,1,1,1,1,1991,1,M,37,11,2,2,1,617245
2003,6,1,19,2,2,35,3,1,1,1,18,1,1,1994,1,M,17,11,2,1,1,617284
2003,6,1,19,2,2,35,3,1,1,1,18,2,1,1996,2,F,52,11,2,2,1,617284
2003,6,1,18,2,2,21,QQ,1,1,1,18,1,16,1984,1,M,19,11,2,9,U,617295
2003,6,1,18,2,2,21,QQ,1,1,1,18,2,16,1997,2,M,15,11,1,9,U,617295
2003,6,1,11,2,2,35,1,2,2,1,18,1,1,1993,1,F,62,11,1,2,1,617408
2003,6,1,11,2,2,35,1,2,2,1,18,2,1,1994,2,F,38,11,2,2,1,617408
2003,6,1,11,2,2,35,1,2,2,1,18,2,1,1994,3,F,13,13,1,2,2,617408
2003,6,1,22,2,2,33,2,2,1,2,1,1,1,2003,1,M,46,11,1,2,1,617501
2003,6,1,22,2,2,33,2,2,1,2,1,1,1,2003,2,F,12,21,2,2,2,617501
2003,6,1,22,2,2,33,2,2,1,2,1,1,1,2003,3,F,12,22,2,2,2,617501
2003,6,1,22,2,2,33,2,2,1,2,1,2,1,1989,4,M,36,11,2,2,1,617501
2003,6,1,1,2,1,3,QQ,1,1,2,18,1,1,2000,1,M,17,11,2,2,1,617511
2003,6,1,1,2,1,3,QQ,1,1,2,18,1,1,2000,2,M,18,13,2,2,2,617511
2003,6,1,1,2,1,3,QQ,1,1,2,18,1,1,2000,3,M,18,23,2,2,2,617511
2003,6,1,19,2,1,4,QQ,3,2,1,18,1,1,1993,1,M,19,11,2,2,1,617532
2003,6,1,19,2,1,4,QQ,3,2,1,18,1,1,1993,2,F,20,13,2,2,2,617532
2003,6,1,19,2,1,4,QQ,3,2,1,18,1,1,1993,3,M,20,21,2,2,2,617532
2003,6,1,15,2,2,33,2,2,1,2,1,1,1,1997,1,F,48,11,2,2,1,617543
2003,6,1,15,2,2,33,2,2,1,2,1,2,1,1987,2,M,40,11,2,2,1,617543
2003,6,1,15,2,2,33,2,2,1,2,1,2,1,1987,3,F,20,13,2,2,2,617543
2003,6,1,15,2,2,32,1,1,1,1,18,1,1,1991,1,M,29,11,1,2,1,617563
2003,6,1,15,2,2,32,1,1,1,1,18,2,5,2000,2,F,42,11,2,2,1,617563
2003,6,1,18,2,2,33,2,1,1,1,1,1,1,1997,1,F,49,11,2,12,1,617578
2003,6,1,18,2,2,33,2,1,1,1,1,2,1,2001,2,M,83,11,2,2,1,617578
2003,6,1,18,2,2,33,2,1,1,1,1,2,1,2001,3,F,77,13,2,2,2,617578
2003,6,1,18,2,2,35,1,3,2,1,18,1,1,1994,1,M,19,11,1,2,1,617638
2003,6,1,18,2,2,35,1,3,2,1,18,1,1,1994,2,M,20,13,1,2,2,617638
2003,6,1,18,2,2,35,1,3,2,1,18,2,1,1987,3,M,17,11,1,2,1,617638
2003,6,1,18,2,2,35,1,3,2,1,18,2,1,1987,4,M,18,13,2,2,2,617638
2003,6,1,14,2,1,4,QQ,2,1,2,18,1,1,2001,1,M,74,11,1,2,1,617647
2003,6,1,14,2,1,4,QQ,2,1,2,18,1,1,2001,2,F,67,13,1,2,2,617647
2003,6,1,14,2,1,4,QQ,2,1,2,18,1,1,2001,3,F,71,23,2,2,2,617647
2003,6,1,17,2,5,21,QQ,1,1,1,18,2,1,1990,5,F,18,11,2,2,1,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,3,1,1998,6,F,16,11,1,12,1,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,3,1,1998,7,M,16,13,1,12,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,3,1,1998,8,M,16,22,1,2,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,3,1,1998,9,F,15,21,1,2,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,4,1,1999,10,F,27,11,2,2,1,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,4,1,1999,11,M,1,22,2,2,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,5,1,2001,12,M,32,11,1,2,1,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,5,1,2001,13,F,35,13,2,2,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,5,1,2001,14,F,6,23,2,2,2,617673
2003,6,1,17,2,5,21,QQ,1,1,1,18,6,1,1999,15,F,63,11,1,2,1,617673
2003,6,1,11,2,1,4,2,3,2,4,18,1,1,1992,1,M,29,11,2,2,1,617718
2003,6,1,17,2,2,35,1,1,1,1,UU,1,1,1996,1,M,52,11,1,2,1,617876
2003,6,1,17,2,2,35,1,1,1,1,UU,2,17,UUUU,1,M,12,11,2,9,4,617876
2003,6,1,13,2,1,4,1,1,1,3,UU,1,14,2003,1,M,57,11,2,13,5,617930
2003,6,1,20,2,2,QQ,1,1,1,1,18,1,1,1994,1,M,47,11,1,2,1,617974
2003,6,1,20,2,2,QQ,1,1,1,1,18,1,1,1994,2,F,14,13,1,2,2,617974
2003,6,1,20,2,2,QQ,1,1,1,1,18,2,17,UUUU,1,M,6,11,2,13,4,617974
2003,6,1,6,2,1,2,1,1,1,1,18,1,1,1984,1,M,18,11,2,2,1,617985
2003,6,1,11,2,1,2,2,1,1,1,18,1,1,1997,1,M,47,11,2,2,1,618005
2003,6,1,9,2,1,QQ,1,1,1,1,UU,1,1,2002,1,F,40,11,2,2,1,618116
2003,6,1,18,2,1,4,1,1,1,1,UU,1,1,1990,1,M,37,11,2,2,1,618181
2003,6,1,4,2,1,4,2,1,1,1,3,1,1,1990,1,M,24,11,1,2,1,618249
2003,6,1,4,2,1,4,2,1,1,1,3,1,1,1990,2,F,19,13,1,2,2,618249
2003,6,1,4,2,1,4,2,1,1,1,3,1,1,1990,3,F,19,21,2,2,2,618249
2003,6,1,4,2,1,4,2,1,1,1,3,1,1,1990,4,F,19,23,1,2,2,618249
2003,6,1,15,2,2,21,2,1,1,1,1,1,1,2003,1,M,41,11,1,2,1,618260
2003,6,1,15,2,2,21,2,1,1,1,1,2,1,1993,1,F,32,11,2,2,1,618260
2003,6,1,15,2,2,21,2,1,1,1,1,2,1,1993,2,M,6,13,1,2,2,618260
2003,6,1,15,2,2,21,2,1,1,1,1,2,1,1993,3,F,3,21,1,2,2,618260
2003,6,1,14,2,2,21,1,2,1,1,1,1,1,1995,1,F,63,11,1,2,1,618308
2003,6,1,14,2,2,21,1,2,1,1,1,1,1,1995,2,F,UU,13,2,2,2,618308
2003,6,1,14,2,2,21,1,2,1,1,1,2,1,1998,1,M,82,11,1,2,1,618308
2003,6,1,14,2,2,21,1,2,1,1,1,2,1,1998,2,F,80,13,1,2,2,618308
2003,6,1,17,2,1,1,3,1,1,1,18,1,1,1995,1,F,80,11,1,2,1,618333
2003,6,1,17,2,1,1,3,1,1,1,18,99,NN,NNNN,1,F,83,99,2,UU,3,618333
2003,6,1,18,2,1,4,1,1,6,3,18,1,1,1999,1,F,46,11,2,2,1,618350
2003,6,1,16,2,1,4,1,1,1,2,UU,1,1,1995,1,F,51,11,2,2,1,618363
2003,6,1,13,2,1,QQ,1,U,U,U,UU,1,UU,2002,1,M,20,11,2,2,U,618490
2003,6,1,20,2,1,QQ,1,2,1,1,18,1,1,1997,1,M,61,11,2,2,1,618546
2003,6,1,13,2,2,33,2,3,2,1,1,1,1,1989,1,F,32,11,2,2,1,618572
2003,6,1,13,2,2,33,2,3,2,1,1,2,1,1994,1,M,37,11,1,2,1,618572
2003,6,1,13,2,2,33,2,3,2,1,1,2,1,1994,2,F,26,13,1,2,2,618572
2003,6,1,16,2,2,21,1,1,1,2,1,1,1,1998,1,F,31,11,2,2,1,618701
2003,6,1,16,2,2,21,1,1,1,2,1,1,1,1998,2,F,17,13,2,2,2,618701
2003,6,1,16,2,2,21,1,1,1,2,1,2,1,1990,1,F,83,11,1,2,1,618701
